2592 pTM: 0.202
3116 pTM: 0.110
3332 pTM: 0.453
1565 pTM: 0.352
3270 pTM: 0.467
3669 pTM: 0.103
0667 pTM: 0.504
0901 pTM: 0.402
2557 pTM: 0.275
4528 pTM: 0.121
4300 pTM: 0.119
4329 pTM: 0.426
1176 pTM: 0.134
2919 pTM: 0.135
2947 pTM: 0.290
1407 pTM: 0.171
2032 pTM: 0.297
3473 pTM: 0.405
3940 pTM: 0.254
4265 pTM: 0.320
1048 pTM: 0.464
3304 pTM: 0.582
0338 pTM: 0.521
0738 pTM: 0.308
1379 pTM: 0.393
1405 pTM: 0.460
1419 pTM: 0.578
1770 pTM: 0.519
2597 pTM: 0.113
4092 pTM: 0.303
4148 pTM: 0.297
0880 pTM: 0.742
2656 pTM: 0.501
4263 pTM: 0.375
0771 pTM: 0.567
1287 pTM: 0.118
0337 pTM: 0.479
0466 pTM: 0.179
1969 pTM: 0.122
2153 pTM: 0.573
0163 pTM: 0.354
0749 pTM: 0.360
1416 pTM: 0.313
2387 pTM: 0.381
4481 pTM: 0.464
0516 pTM: 0.226
1661 pTM: 0.582
2202 pTM: 0.294
2802 pTM: 0.384
2821 pTM: 0.292
2903 pTM: 0.492
1668 pTM: 0.504
1680 pTM: 0.441
2249 pTM: 0.479
2465 pTM: 0.118
0944 pTM: 0.312
1400 pTM: 0.179
1446 pTM: 0.454
2661 pTM: 0.412
2664 pTM: 0.288
4089 pTM: 0.295
1975 pTM: 0.441
2173 pTM: 0.478
3291 pTM: 0.330
1022 pTM: 0.542
2308 pTM: 0.671
2765 pTM: 0.317
3041 pTM: 0.169
3677 pTM: 0.349
3988 pTM: 0.467
0081 pTM: 0.401
1279 pTM: 0.164
1933 pTM: 0.506
2393 pTM: 0.616
0811 pTM: 0.314
1464 pTM: 0.327
1483 pTM: 0.707
2197 pTM: 0.197
2741 pTM: 0.163
2785 pTM: 0.480
4006 pTM: 0.419
0145 pTM: 0.663
0972 pTM: 0.284
1015 pTM: 0.104
0879 pTM: 0.805
1426 pTM: 0.416
2884 pTM: 0.423
3595 pTM: 0.464
0730 pTM: 0.284
0750 pTM: 0.549
2256 pTM: 0.753
2404 pTM: 0.435
2797 pTM: 0.287
4255 pTM: 0.352
1684 pTM: 0.268
4052 pTM: 0.573
4440 pTM: 0.585
4493 pTM: 0.475
0242 pTM: 0.316
0519 pTM: 0.241
0534 pTM: 0.479
2007 pTM: 0.475
2991 pTM: 0.127
3353 pTM: 0.464
4133 pTM: 0.258
4264 pTM: 0.097
4537 pTM: 0.236
0728 pTM: 0.553
1348 pTM: 0.557
2238 pTM: 0.312
2433 pTM: 0.554
2459 pTM: 0.322
3605 pTM: 0.608
3656 pTM: 0.481
3659 pTM: 0.683
0806 pTM: 0.172
1798 pTM: 0.673
1854 pTM: 0.287
2159 pTM: 0.593
2314 pTM: 0.331
3040 pTM: 0.459
3414 pTM: 0.390
0925 pTM: 0.422
1410 pTM: 0.161
1650 pTM: 0.259
1879 pTM: 0.099
4021 pTM: 0.158
4249 pTM: 0.105
0674 pTM: 0.245
0941 pTM: 0.249
1164 pTM: 0.527
1422 pTM: 0.584
1439 pTM: 0.671
2102 pTM: 0.232
2286 pTM: 0.758
2715 pTM: 0.217
3115 pTM: 0.737
3799 pTM: 0.311
0139 pTM: 0.737
0797 pTM: 0.295
0807 pTM: 0.310
1166 pTM: 0.284
2088 pTM: 0.149
2291 pTM: 0.351
2762 pTM: 0.215
3650 pTM: 0.339
3869 pTM: 0.311
0439 pTM: 0.180
0928 pTM: 0.479
1262 pTM: 0.419
1281 pTM: 0.496
1284 pTM: 0.804
1845 pTM: 0.324
2307 pTM: 0.649
2384 pTM: 0.415
2954 pTM: 0.344
3513 pTM: 0.319
4147 pTM: 0.232
0114 pTM: 0.382
0440 pTM: 0.616
2781 pTM: 0.293
0148 pTM: 0.584
0514 pTM: 0.555
0800 pTM: 0.766
1458 pTM: 0.498
1759 pTM: 0.774
2105 pTM: 0.229
2360 pTM: 0.403
0123 pTM: 0.642
0389 pTM: 0.555
1220 pTM: 0.142
1444 pTM: 0.462
1533 pTM: 0.379
1575 pTM: 0.253
2305 pTM: 0.362
2392 pTM: 0.400
2460 pTM: 0.555
2581 pTM: 0.831
2620 pTM: 0.801
2817 pTM: 0.292
1456 pTM: 0.693
2248 pTM: 0.749
2288 pTM: 0.238
2922 pTM: 0.223
